Id.x,SpsCode,DBH,StreetName,StreetNumber,City
180,ARCU,1,VASSAR AV,7246,La Mesa
269,ARCU,2,MUNICIPAL POOL,2,La Mesa
172,ARCU,1,PURDUE AV,7152,La Mesa
157,ARCU,2,MAPLE AV,4790,La Mesa
199,ARCU,1,ADULT ENRICHMENT CENTER,2,La Mesa
227,ARCU,1,ST JOHN PL,8170,La Mesa
291,ARCU,1,EASTRIDGE DR,7912,La Mesa
289,ARCU,1,EASTRIDGE DR,4175,La Mesa
181,ARCU,1,ORIEN AV,7530,La Mesa
298,ARCU,2,EASTRIDGE DR,7912,La Mesa
296,ARCU,1,EASTRIDGE DR,7912,La Mesa
268,ARCU,2,SUNSET PARK,2,La Mesa
169,ARCU,1,CULBERTSON AV,4547,La Mesa
182,ARCU,1,ORIEN AV,7530,La Mesa
179,ARCU,2,LOMA VISTA DR,7671,La Mesa
282,ARCU,1,EASTRIDGE DR,7600,La Mesa
176,ARCU,1,LOMA VISTA DR,7670,La Mesa
287,ARCU,1,EASTRIDGE DR,7615,La Mesa
295,ARCU,2,EASTRIDGE DR,7912,La Mesa
202,ARCU,1,YORKSHIRE AV,5765,La Mesa
256,ARCU,1,MONONA DR,9350,La Mesa
271,ARCU,2,CINNABAR DR,8145,La Mesa
165,ARCU,1,HOMEWOOD PL,7741,La Mesa
285,ARCU,1,EASTRIDGE DR,7600,La Mesa
162,ARCU,1,MAPLE AV,4790,La Mesa
170,ARCU,1,SOUTH ST,7544,La Mesa
177,ARCU,2,LOMA VISTA DR,7670,La Mesa
254,ARCU,2,LOREN DR,9324,La Mesa
160,ARCU,2,MAPLE AV,4790,La Mesa
284,ARCU,1,EASTRIDGE DR,7600,La Mesa
185,ARCU,2,LAKE HELIX TR,9750,La Mesa
183,ARCU,2,ORIEN AV,7426,La Mesa
171,ARCU,2,ANNAPOLIS AV,7447,La Mesa
168,ARCU,1,DENWOOD RD,4665,La Mesa
294,ARCU,1,EASTRIDGE DR,7912,La Mesa
275,ARCU,1,EASTRIDGE DR,4210,La Mesa
255,ARCU,1,MONONA DR,9350,La Mesa
283,ARCU,1,EASTRIDGE DR,7600,La Mesa
154,ARCU,1,UNIVERSITY PL,8050,La Mesa
174,ARCU,1,PURDUE AV,7144,La Mesa
184,ARCU,2,ORIEN AV,7426,La Mesa
164,ARCU,1,HOMEWOOD PL,7741,La Mesa
281,ARCU,1,EASTRIDGE DR,7600,La Mesa
166,ARCU,1,HOMEWOOD PL,7741,La Mesa
