Id.x,SpsCode,DBH,StreetName,City
42517,ALRH,1,,Irvine
23311,ALRH,1,,Irvine
22660,ALRH,1,,Irvine
35192,ALRH,1,Hicks Canyon Bike Trail,Irvine
36588,ALRH,1,Hicks Canyon Bike Trail,Irvine
12212,ALRH,1,Hicks Canyon Bike Trail,Irvine
12365,ALRH,1,Hicks Canyon Bike Trail,Irvine
56993,ALRH,2,Turtle Rock Community Park,Irvine
22673,ALRH,1,,Irvine
3019,ALRH,2,Riparian Corridor,Irvine
22553,ALRH,1,,Irvine
23313,ALRH,1,,Irvine
4556,ALRH,1,Riparian Corridor,Irvine
22485,ALRH,1,,Irvine
12182,ALRH,1,Hicks Canyon Bike Trail,Irvine
34547,ALRH,1,Hicks Canyon Bike Trail,Irvine
47876,ALRH,2,Turtle Rock Community Park,Irvine
4055,ALRH,3,Riparian Corridor,Irvine
12181,ALRH,1,Hicks Canyon Bike Trail,Irvine
39960,ALRH,1,Hicks Canyon Bike Trail,Irvine
12097,ALRH,1,Hicks Canyon Bike Trail,Irvine
20544,ALRH,1,Alderwood Park,Irvine
22878,ALRH,3,Btwn. Deerfield Ave. and Irvine Center Dr.,Irvine
1498,ALRH,1,Riparian Corridor,Irvine
12296,ALRH,1,Hicks Canyon Bike Trail,Irvine
12193,ALRH,1,Hicks Canyon Bike Trail,Irvine
36576,ALRH,1,Hicks Canyon Bike Trail,Irvine
5745,ALRH,2,Riparian Corridor,Irvine
60910,ALRH,1,Turtle Rock Community Park,Irvine
31042,ALRH,3,Windrow Community Park,Irvine
731,ALRH,1,Riparian Corridor,Irvine
14314,ALRH,1,Hicks Canyon Bike Trail,Irvine
654,ALRH,2,Riparian Corridor,Irvine
54536,ALRH,1,Citrusglen Park,Irvine
35168,ALRH,1,Hicks Canyon Bike Trail,Irvine
30999,ALRH,3,Windrow Community Park,Irvine
23384,ALRH,1,,Irvine
22607,ALRH,1,,Irvine
56365,ALRH,1,Sycamore Park,Irvine
35415,ALRH,1,Hicks Canyon Bike Trail,Irvine
22706,ALRH,1,,Irvine
44484,ALRH,3,San Leandro Park,Irvine
24282,ALRH,1,,Irvine
22643,ALRH,1,,Irvine
8409,ALRH,1,Hicks Canyon Greenbelt,Irvine
469,ALRH,2,Riparian Corridor,Irvine
3809,ALRH,2,Turtle Rock Community Park,Irvine
593,ALRH,1,Riparian Corridor,Irvine
57721,ALRH,1,Flagstone Park,Irvine
7252,ALRH,1,Hicks Canyon Bike Trail,Irvine
56870,ALRH,2,Turtle Rock Community Park,Irvine
52717,ALRH,1,Citrusglen Park,Irvine
38878,ALRH,1,Hicks Canyon Bike Trail,Irvine
35149,ALRH,1,Hicks Canyon Bike Trail,Irvine
3612,ALRH,1,Riparian Corridor,Irvine
34550,ALRH,1,Hicks Canyon Bike Trail,Irvine
2084,ALRH,1,Riparian Corridor,Irvine
44197,ALRH,1,,Irvine
