Species,Author notes,Source URL,Kingdom,Subkingdom,Infrakingdom,Superdivision,Division,Subdivision,Phylum,Subphylum,Class,Subclass,Superorder,Order,Family,subfamily,Genus
Brahea edulis ,,http://www.gbif.org/species/2736827,Plantae,,,,,,Tracheophyta,,,,,Arecales,Arecaceae,,Brahea
Bursera hindsiana ,,http://www.gbif.org/species/7286865,Plantae,,,,,,Tracheophyta,,,,,Sapindales,Burseraceae,,Bursera
Caesalpinia cacalaco ,,http://www.gbif.org/species/112102880,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Caesalpinia
Calliandra tweedii ,,http://www.gbif.org/species/2982053,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Calliandra
Callistemom citrinus ,"Misspelled in data file, should be Callistemon citrinus",http://www.gbif.org/species/3173413,Plantae,,,,,,Tracheophyta,,,,,Myrtales,Myrtaceae,,Callistemon
Carya illinoensis ,,http://www.gbif.org/species/4205617,Plantae,,,,,,Tracheophyta,,,,,Fagales,Juglandaceae,,Carya
Castanospermum australe ,,http://www.gbif.org/species/2952129,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Castanospermum
Cedrus atlantica 'Glauca' ,,http://www.gbif.org/species/101400688,Plantae,,,,,,,,,,,,Pinaceae,,Cedrus
Cedrus atlantica 'Pendula' ,I can not find taxanomic information for this,,,,,,,,,,,,,,,,
Cedrus atlantica ,,http://www.gbif.org/species/5284702,Plantae,,,,,,Tracheophyta,,,,,Pinales,Pinaceae,,Cedrus
Cercidium praecox ,Synonym of Parkinsonia praecox,http://www.gbif.org/species/5357221,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Cercidium
Cercis chinensis ,,http://www.gbif.org/species/5353599,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Cercis
Cercis reniformis 'Alba' ,Synonym for Cercis canadensis var. texensis 'Oklahoma'. ,http://www.gbif.org/species/5353586,Plantae,,,,,,Tracheophyta,,,,,Fabales,Fabaceae,,Cercis
Chionanthus retusus ,,http://www.gbif.org/species/113622769,Plantae,,,,,,,,,,,Lamiales,Oleaceae,,Chionathus
Chitalpa tashkentensis 'Pink Dawn' ,,https://selectree.calpoly.edu/tree-detail/%C3%97-chitalpa-tashkentensis-pink-dawn,,,,,,,,,,,,,Bignoniaceae,,
Chitalpa tashkentensis ,,http://www.gbif.org/species/4093332,Plantae,,,,,,Tracheophyta,,,,,Lamiales,Bignoniaceae,,Chitalpa
Chitalpa x tashkentensis 'Morning Cloud' ,,https://selectree.calpoly.edu/tree-detail/%C3%97-chitalpa-tashkentensis-morning-cloud,,,,,,,,,,,,,Bignoniaceae,,
Chitalpa tashkentensis 'Pink Dawn' ,same as 47A,,,,,,,,,,,,,,,,
Cinnamomum glanduliferum ,,http://www.gbif.org/species/113623481,Plantae,,,,,,,,,,,Laurales,Lauraceae,,Cinnamomum
Citrus japonica 'Margarita' ,I can not find taxonomic information for this,,,,,,,,,,,,,,,,
Cordyline indivisa ,,http://www.gbif.org/species/7649149,Plantae,,,,,,Tracheophyta,,,,,Asparagales,Asparagaceae,,Cordyline
Cornus florida 'Cloud Nine' ,,https://selectree.calpoly.edu/tree-detail/cornus-florida-cloud-nine,,,,,,,,,,,,,Cornaceae,,
Cornus florida 'Rubra' ,,https://selectree.calpoly.edu/tree-detail/cornus-florida-rubra,,,,,,,,,,,,,Cornaceae,,
Crinodendron patagua ,,http://www.gbif.org/species/4031011,Plantae,,,,,,Tracheophyta,,,,,,,,
Cryptocarya rubra ,,https://plants.usda.gov/core/profile?symbol=CRRU12,Plantae,Tracheobionta,,Spermatophya,Magnoliophyta,,,,,,,Laurales,Lauraceae,,Cryptocarya
Cunonia capensis ,,http://www.gbif.org/species/5535290,Plantae,,,,,,Tracheobionta,,,,,,Cunoniaceae,,Cunonia
Cupresssus guadalupensis ,"Misspelled in data file, should be Cupressus ",http://www.gbif.org/species/2684001,Plantae,,,,,,Tracheobionta,,,,,Pinales,Cupressaceae,,Cupressus
Dahlia imperialis ,,http://www.gbif.org/species/103337236,Virigiplantae,,,,,,Streptophyta,,,,,Asterales,Asteraceae,,Dahlia
